36328;57;
36329;61;
36330;66;
36331;68;
36332;70;
36333;76;
36334;79;
36335;78;
36336;83;
36337;89;
36338;89;
36339;91;
36340;96;
36341;98;
36342;91;
36343;85;
36344;80;
36345;74;
36346;73;
36347;78;
36348;79;
36349;78;
36350;81;
36351;82;
36352;80;
36353;79;
36354;83;
36355;82;
36356;80;
36357;83;
36358;84;
36359;82;
36360;82;
36361;84;
36362;86;
36363;83;
36364;87;
36365;91;
36366;85;
36367;83;
36368;84;
36369;82;
36370;80;
36371;72;
36372;94;
36373;168;
36374;123;
36375;62;
36376;62;
36377;60;
36378;63;
36379;68;
36380;68;
36381;72;
36382;75;
36383;79;
36384;79;
36385;85;
36386;89;
36387;89;
36388;93;
36389;97;
36390;98;
36391;86;
36392;82;
36393;76;
36394;72;
36395;74;
36396;78;
36397;78;
36398;78;
36399;81;
36400;82;
36401;80;
36402;81;
36403;83;
36404;82;
36405;79;
36406;83;
36407;83;
36408;82;
36409;82;
36410;85;
36411;84;
36412;83;
36413;88;
36414;88;
36415;83;
36416;85;
36417;80;
36418;81;
36419;71;
36420;84;
36421;172;
36422;140;
36423;67;
36424;59;
36425;57;
36426;58;
36427;65;
36428;68;
36429;70;
36430;74;
36431;79;
36432;81;
36433;82;
36434;88;
36435;94;
36436;92;
36437;95;
36438;97;
36439;89;
36440;78;
36441;78;
36442;75;
36443;73;
36444;76;
36445;79;
36446;79;
36447;79;
36448;81;
36449;84;
36450;80;
36451;81;
36452;82;
36453;80;
36454;80;
36455;84;
36456;83;
36457;81;
36458;83;
36459;85;
36460;86;
36461;84;
36462;89;
36463;87;
36464;84;
36465;82;
36466;83;
36467;77;
36468;75;
36469;153;
36470;172;
36471;76;
36472;61;
36473;59;
36474;58;
36475;63;
36476;68;
36477;72;
36478;73;
36479;79;
36480;81;
36481;82;
36482;86;
36483;92;
36484;95;
36485;95;
36486;97;
36487;93;
36488;82;
36489;76;
36490;75;
36491;74;
36492;75;
36493;78;
36494;81;
36495;79;
36496;81;
36497;83;
36498;83;
36499;79;
36500;83;
36501;82;
36502;81;
36503;82;
36504;84;
36505;83;
36506;81;
36507;84;
36508;86;
36509;84;
36510;89;
36511;87;
36512;84;
36513;82;
36514;83;
36515;82;
36516;70;
36517;105;
36518;172;
36519;113;
36520;59;
36521;59;
36522;59;
36523;61;
36524;67;
36525;70;
36526;73;
36527;75;
36528;81;
36529;84;
36530;84;
36531;89;
36532;94;
36533;93;
36534;96;
36535;96;
36536;88;
36537;77;
36538;75;
36539;75;
36540;74;
36541;74;
36542;80;
36543;82;
36544;79;
36545;82;
36546;83;
36547;81;
36548;79;
36549;83;
36550;83;
36551;80;
36552;82;
36553;84;
36554;83;
36555;82;
36556;84;
36557;86;
36558;82;
36559;89;
36560;88;
36561;83;
36562;84;
36563;83;
36564;82;
36565;71;
36566;99;
36567;172;
36568;119;
36569;62;
36570;59;
36571;60;
36572;60;
36573;66;
36574;69;
36575;72;
36576;76;
36577;80;
36578;82;
36579;81;
36580;88;
36581;93;
36582;94;
36583;96;
36584;97;
36585;87;
36586;77;
36587;76;
36588;75;
36589;72;
36590;77;
36591;78;
36592;80;
36593;78;
36594;83;
36595;82;
36596;79;
36597;81;
36598;82;
36599;82;
36600;79;
36601;83;
36602;85;
36603;82;
36604;83;
36605;85;
36606;84;
36607;83;
36608;86;
36609;88;
36610;87;
36611;86;
36612;87;
36613;82;
36614;80;
36615;79;
36616;80;
36617;153;
36618;161;
36619;74;
36620;62;
36621;56;
36622;62;
36623;65;
36624;68;
36625;72;
36626;75;
36627;76;
36628;79;
36629;85;
36630;88;
36631;88;
36632;95;
36633;98;
36634;96;
36635;89;
36636;84;
36637;78;
36638;72;
36639;73;
36640;76;
36641;75;
36642;77;
36643;79;
36644;81;
36645;79;
36646;81;
36647;83;
36648;80;
36649;79;
36650;83;
36651;84;
36652;81;
36653;82;
36654;84;
36655;81;
36656;82;
36657;84;
36658;85;
36659;85;
36660;89;
36661;88;
36662;85;
36663;83;
36664;82;
36665;82;
36666;67;
36667;111;
